char_id,ontology,list_of_finest_character
1,hao," http://purl.obolibrary.org/obo/HAO_0000234"
1,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
2,hao,"http://purl.obolibrary.org/obo/HAO_0001432"
2,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
3,hao,"http://purl.obolibrary.org/obo/HAO_0000419"
3,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
85,hao,"http://purl.obolibrary.org/obo/HAO_0000811"
85,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
86,hao,"http://purl.obolibrary.org/obo/HAO_0000811"
86,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
89,hao,"http://purl.obolibrary.org/obo/HAO_0000761"
89,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
87,hao,"http://purl.obolibrary.org/obo/HAO_0000761"
87,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
88,hao,"http://purl.obolibrary.org/obo/HAO_0000761"
88,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
14,hao,"http://purl.obolibrary.org/obo/HAO_0001218"
14,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
15,hao,"http://purl.obolibrary.org/obo/HAO_0001218"
15,pato,"http://purl.obolibrary.org/obo/PATO_0000140, http://purl.obolibrary.org/obo/PATO_0000052"
18,hao,"http://purl.obolibrary.org/obo/HAO_0000653"
18,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
19,hao,"http://purl.obolibrary.org/obo/HAO_0000653"
19,pato,"http://purl.obolibrary.org/obo/PATO_0000117"
23,hao,"http://purl.obolibrary.org/obo/HAO_0000456"
23,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
25,hao,"http://purl.obolibrary.org/obo/HAO_0000456"
25,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
24,hao,"http://purl.obolibrary.org/obo/HAO_0000456"
24,pato,"http://purl.obolibrary.org/obo/PATO_0000052"
26,hao,"http://purl.obolibrary.org/obo/HAO_0000456"
26,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
32,hao,"http://purl.obolibrary.org/obo/HAO_0000456"
32,pato,"http://purl.obolibrary.org/obo/PATO_0001543"
33,hao,"http://purl.obolibrary.org/obo/HAO_0000456"
33,pato,"http://purl.obolibrary.org/obo/PATO_0000915"
34,hao,"http://purl.obolibrary.org/obo/HAO_0000456"
34,pato,"http://purl.obolibrary.org/obo/PATO_0000066"
35,hao,"http://purl.obolibrary.org/obo/HAO_0001550"
35,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
36,hao,"http://purl.obolibrary.org/obo/HAO_0000939"
36,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
37,hao,"http://purl.obolibrary.org/obo/HAO_0000939"
37,pato,"http://purl.obolibrary.org/obo/PATO_0000066"
95,hao,"http://purl.obolibrary.org/obo/HAO_0000192"
95,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
94,hao,"http://purl.obolibrary.org/obo/HAO_0000192"
94,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
96,hao,"http://purl.obolibrary.org/obo/HAO_0000192"
96,pato,"http://purl.obolibrary.org/obo/PATO_0000052"
100,hao,"http://purl.obolibrary.org/obo/HAO_0000856"
100,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
101,hao,"http://purl.obolibrary.org/obo/HAO_0000856"
101,pato, "http://purl.obolibrary.org/obo/PATO_0000133"
124,hao,"http://purl.obolibrary.org/obo/HAO_0000855"
124,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
125,hao,"http://purl.obolibrary.org/obo/HAO_0000855"
125,pato,"http://purl.obolibrary.org/obo/PATO_0000052"
126,hao,"http://purl.obolibrary.org/obo/HAO_0000855"
126,pato,"http://purl.obolibrary.org/obo/PATO_0000052"
127,hao,"anterior mesoscutal sulcus"
127,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
128,hao,"anterior mesoscutal sulcus"
128,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
131,hao,"http://purl.obolibrary.org/obo/HAO_0000647"
131,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
132,hao,"http://purl.obolibrary.org/obo/HAO_0000647"
132,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
185,hao,"http://purl.obolibrary.org/obo/HAO_0001383"
185,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
186,hao,"http://purl.obolibrary.org/obo/HAO_0001383"
186,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
191,hao,"http://purl.obolibrary.org/obo/HAO_0000548"
191,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
192,hao,"http://purl.obolibrary.org/obo/HAO_0000121"
192,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
